step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,,,,,,Ecology and Leadership,Pantitlan and Other Erratic Phenomena - Amari Epa,,,,,,,,
2,img1315,0.4997685070334021,0.45830535007558504,1.0000000000000002,,"Pantitlan, and its traditional significance to life in Tepetzinco","Known as the Place of Banners or the Place of Sacrifice, Pantitlan is a whirlpool located in the eastern lake of the Basin of Mexico.   Pantitlan, an ultimately sacred geological site for the Nahua, was a site for worship of the tlaloque–the water and mountain dieties.  At the end of the festival for the tlaloque, everything used for the festival was offered into the waters of Pantitlan.  Even more so, payments of debts through child sacrificial offerings, to the rain deity Tlaloc, during the festival of Atlcahualo would occur at Pantitlan to ensure rain would come to end a drought.  Then, there was also the festival of Etzalcualiztli, which took place when water levels were high, and hearts were sacrificed to the water to help ensure a steady water supply. ",,"PETERSON, JEANETTE FAVROT, and KEVIN TERRACIANO, eds. The Florentine Codex: An Encyclopedia of the Nahua World in Sixteenth-Century Mexico. University of Texas Press, 2019. https://doi.org/10.7560/318409.",table-5-learn-more.md,Go deeper,table-5-reference.md,,,
3,img1315,0.4997255709186011,0.5254212337215923,1.9449667885278723,," What is the significance of the banners, ceramics, and jade?","Here we can see three people tossing in jade objects, one of which is in the shape of a human, as well as ceramics, and items contained within a reed box.  These items are left within the Pantitlan also with the banners.  Pantitlan is a word meant to actually signify the ‘Place of the Banners’, so banners carry a special significance in regard to the area and rituals intertwined with the nurturers of this land.  Furthermore, as the Codex demonstrates similar dipictions of white flags in the hands of victims being sacrificed, Pantitlan can therefore also be interpreted to mean ‘Place of Sacrifice’.  Here, along with human vessel sacrifices are also sarifices from the remains of the festival Atlcahualo, which would include items such as jade cups, paper garlands, reeds, flame sticks, cloud bundles, wooden bowls, and clay bowls. ",,,table-5-step3-layer1.md,,,,,
4,img1315,0.5073529789705569,0.44179067787815207,1.8023031730636738,,"What is the building in the center of the water, and what is the circular ring surrounding the water?","In the center of Pantitlan is the drain-like sort of whirlpool, where people give their offerings.  Surrounding this drain is a set of four stairs, in the shape of a square that ascends to create a cistern.  Surrounding the cistern then is a ring that signifies earth that has risin above the water level, and on this land is where the banners were to be placed.  The structure actually makes a sort of pyramid structure, that would only be visible during times of low water levels, and served as a sort of alarm to signify the arrival of the time for ritual.  Overall, the entire depiction represents a ritual of renewal that ensures the continuation of not just steady watter but of their universe.  
",,,table-5-step4-layer1.md,Reference,table-5-go-deeper.md,,,
5,,,,,,chap 8,Afsana Anannya,,,,,,,,
6,book11folio34v,0.44988080890069526,0.23974988607544787,2.810413694721826,,"What is this animal, and what role does it play?","The acuitlachtli, or “water bear,” was an unusual water dwelling animal, likely a type of nutria. It was important because its strange behavior was connected to the environment and the freshwater supply that Tlatelolco depended on.",,Content,table-5-step6-layer1.md,,table-5-references.md,,,
7,book11folio34v,0.45720588951269736,0.1819078633386833,4.215620542082738,,Why was the acuitlachtli hunted and killed?,"The acuitlachtli was hunted after appearing in a freshwater source in Tlatelolco. Because the water was important to the community, the animal was seen as a threat to this valuable resource. Its killing was an attempt to protect the water and restore balance.",,Content,table-5-step7-layer1.md,Go deeper,table-5-step7-layer2.md,,,
8,book11folio34v,0.4579510534096008,0.24565721179549507,2.810413694721826,,Why was the acuitlachtli buried?,"After the acuitlachtli was captured, the ruler of Tlatelolco was frightened by it and ordered it to be buried in Tepetzinco. This location was significant because it was near Pantitlan and was also connected to the burial of Copil, an enemy of the Mexica. Burying the animal there helped restore order and connected its story to the city’s earlier history.",,Content,table-5-step8-layer1.md,Go deeper,table-5-step8-layer2.md,,,
9,,,,,,Bundling Natural History,"Folk-Biological Knowledge of Natural Materials used in Aztec Rituals
- Delmi Lipe",,,,,,,,
